keyword,title,date,url,source_country,domain,date_only,year,month,week,dominant_topic
virus,mission : impossible 2,2026-01-02 00:00:00+00:00,https://www.tvguide.co.uk/schedule/e543e117-ff3b-54c7-b040-cd7d3149433d/mission-impossible-2,,tvguide.co.uk,2026-01-02,2026,1,1,0
virus,januárové novinky v kinách : dočkáme sa uletenej komédie dream team aj nového silent hill,2026-01-02 00:00:00+00:00,https://www.aktuality.sk/clanok/rZGWyqv/januarove-novinky-v-kinach-dockame-sa-uletenej-komedie-dream-team-aj-noveho-silent-hill/,,aktuality.sk,2026-01-02,2026,1,1,4
virus,"10 years after end of  1 - child  policy , china push for more babies isnt winning its citizens over",2026-01-01 23:45:00+00:00,https://www.ksl.com:443/article/51425945/10-years-after-end-of-1-child-policy-chinas-push-for-more-babies-isnt-winning-its-citizens-over,,ksl.com,2026-01-01,2026,1,1,0
virus,utah measles cases rise to 156 amid ongoing national outbreak,2026-01-01 23:45:00+00:00,https://www.ksl.com:443/article/51426212/utah-measles-cases-rise-to-156-amid-ongoing-national-outbreak,,ksl.com,2026-01-01,2026,1,1,4
virus,tracking flu and respiratory virus activity across alabama,2026-01-01 23:45:00+00:00,https://www.wvtm13.com/article/alabama-health-flu-covid-rsv-tracker/69889557,,wvtm13.com,2026-01-01,2026,1,1,1
virus,cartelera cmll viernes 2 de enero,2026-01-01 23:45:00+00:00,https://www.mediotiempo.com/lucha-libre/mascara-vs-cabellera-cmll-inicia-2026-lucha-jaula,,mediotiempo.com,2026-01-01,2026,1,1,0
virus,elon - musk - news : aktuelle meldungen zum tech - milliardär ( stand : 02 . 01 . 2026 ) ,2026-01-01 23:45:00+00:00,https://www.goettinger-tageblatt.de/promis/elon-musk-news-aktuelle-meldungen-zum-tech-milliardaer-stand-02-01-2026-RKRWH5V3FZHWDEZDYRFBQ5RCYI.html,,goettinger-tageblatt.de,2026-01-01,2026,1,1,2
virus,"the beauty : one shot makes you hot in  new year , new you  teaser",2026-01-01 23:45:00+00:00,https://bleedingcool.com/tv/the-beauty-one-shot-makes-you-hot-in-new-year-new-you-teaser/,,bleedingcool.com,2026-01-01,2026,1,1,0
virus,"아토피피부염 환자 , 보습제 써야 할까 ? [ 건강한겨레 ] ",2026-01-01 23:45:00+00:00,https://www.hani.co.kr/arti/hanihealth/healthlife/1237654.html,,hani.co.kr,2026-01-01,2026,1,1,3
virus,super flu spreading rapidly across missouri,2026-01-01 23:30:00+00:00,https://kxkx.com/ixp/463/p/super-flu-missouri-cases/,,kxkx.com,2026-01-01,2026,1,1,1
